1,2,3,4,5,6,7,8,9,10,11,12,13
1,2,8,1,1,2,1,1,13,0,10,4,0
4,5,8,1,1,2,1,1,13,0,10,4,0
25,6,8,1,1,2,1,1,13,0,10,4,0
27,8,8,1,1,2,1,1,13,0,10,4,0
3,10,8,1,1,2,1,1,13,0,10,4,0
0,14,8,1,1,2,1,1,13,0,10,4,0
6,16,8,1,1,2,1,1,13,0,10,4,0
10,17,8,1,1,2,1,1,13,0,10,4,0
12,25,8,1,1,2,1,1,13,0,10,4,0
21,27,8,1,1,2,1,1,13,0,10,4,0
5,29,8,1,1,2,1,1,13,0,10,4,0
30,29,8,1,1,2,1,1,13,0,10,4,0
16,31,8,1,1,2,1,1,13,0,10,4,0
19,33,8,1,1,2,1,1,13,0,10,4,0
23,37,8,1,1,2,1,1,13,0,10,4,0
15,42,8,1,1,2,1,1,13,0,10,4,0
14,45,8,1,1,2,1,1,13,0,10,4,0
2,47,8,1,1,2,1,1,13,0,10,4,0
24,48,8,1,1,2,1,1,13,0,10,4,0
8,52,8,1,1,2,1,1,13,0,10,4,0
17,60,8,1,1,2,1,1,13,0,10,4,0
20,62,8,1,1,2,1,1,13,0,10,4,0
11,113,8,1,1,2,1,1,13,0,10,4,0
26,113,8,1,1,2,1,1,13,0,10,4,0
18,114,8,1,1,2,1,1,13,0,10,4,0
28,115,8,1,1,2,1,1,13,0,10,4,0
22,117,8,1,1,2,1,1,13,0,10,4,0
29,117,8,1,1,2,1,1,13,0,10,4,0
13,118,8,1,1,2,1,1,13,0,10,4,0
7,119,8,1,1,2,1,1,13,0,10,4,0
9,119,8,1,1,2,1,1,13,0,10,4,0
2,68,2,0,0,1,0,8,6,1,10,4,0
25,74,2,0,0,1,0,8,6,1,10,4,0
16,75,2,0,0,1,0,8,6,1,10,4,0
27,77,2,0,0,1,0,8,6,1,10,4,0
28,78,2,0,0,1,0,8,6,1,10,4,0
22,81,2,0,0,1,0,8,6,1,10,4,0
26,81,2,0,0,1,0,8,6,1,10,4,0
8,84,2,0,0,1,0,8,6,1,10,4,0
17,86,2,0,0,1,0,8,6,1,10,4,0
3,92,2,0,0,1,0,8,6,1,10,4,0
10,93,2,0,0,1,0,8,6,1,10,4,0
13,93,2,0,0,1,0,8,6,1,10,4,0
19,93,2,0,0,1,0,8,6,1,10,4,0
5,95,2,0,0,1,0,8,6,1,10,4,0
20,95,2,0,0,1,0,8,6,1,10,4,0
9,97,2,0,0,1,0,8,6,1,10,4,0
12,97,2,0,0,1,0,8,6,1,10,4,0
24,97,2,0,0,1,0,8,6,1,10,4,0
1,100,2,0,0,1,0,8,6,1,10,4,0
4,106,2,0,0,1,0,8,6,1,10,4,0
18,110,2,0,0,1,0,8,6,1,10,4,0
7,5,9,2,2,4,2,8,6,1,10,4,0
2,10,9,2,2,4,2,8,6,1,10,4,0
15,25,9,2,2,4,2,8,6,1,10,4,0
30,46,9,2,2,4,2,8,6,1,10,4,0
11,65,9,2,2,4,2,8,6,1,10,4,0
5,70,9,2,2,4,2,8,6,1,10,4,0
0,75,9,2,2,4,2,8,6,1,10,4,0
13,75,9,2,2,4,2,8,6,1,10,4,0
14,75,9,2,2,4,2,8,6,1,10,4,0
29,76,9,2,2,4,2,8,6,1,10,4,0
26,77,9,2,2,4,2,8,6,1,10,4,0
6,79,9,2,2,4,2,8,6,1,10,4,0
28,80,9,2,2,4,2,8,6,1,10,4,0
3,81,9,2,2,4,2,8,6,1,10,4,0
9,81,9,2,2,4,2,8,6,1,10,4,0
27,86,9,2,2,4,2,8,6,1,10,4,0
10,91,9,2,2,4,2,8,6,1,10,4,0
25,91,9,2,2,4,2,8,6,1,10,4,0
1,94,9,2,2,4,2,8,6,1,10,4,0
4,95,9,2,2,4,2,8,6,1,10,4,0
20,95,9,2,2,4,2,8,6,1,10,4,0
8,96,9,2,2,4,2,8,6,1,10,4,0
12,96,9,2,2,4,2,8,6,1,10,4,0
18,100,9,2,2,4,2,8,6,1,10,4,0
22,105,9,2,2,4,2,8,6,1,10,4,0
19,110,9,2,2,4,2,8,6,1,10,4,0
23,115,9,2,2,4,2,8,6,1,10,4,0
21,119,9,2,2,4,2,8,6,1,10,4,0
18,15,23,3,3,5,3,3,1,3,10,4,0
12,26,23,3,3,5,3,3,1,3,10,4,0
21,39,23,3,3,5,3,3,1,3,10,4,0
20,44,23,3,3,5,3,3,1,3,10,4,0
19,52,23,3,3,5,3,3,1,3,10,4,0
13,55,23,3,3,5,3,3,1,3,10,4,0
14,121,23,3,3,5,3,3,1,3,10,4,0
16,70,12,11,11,15,11,2,0,5,10,4,0
22,73,12,11,11,15,11,2,0,5,10,4,0
29,75,12,11,11,15,11,2,0,5,10,4,0
3,79,12,11,11,15,11,2,0,5,10,4,0
0,80,12,11,11,15,11,2,0,5,10,4,0
12,80,12,11,11,15,11,2,0,5,10,4,0
17,81,12,11,11,15,11,2,0,5,10,4,0
10,84,12,11,11,15,11,2,0,5,10,4,0
14,85,12,11,11,15,11,2,0,5,10,4,0
20,85,12,11,11,15,11,2,0,5,10,4,0
23,85,12,11,11,15,11,2,0,5,10,4,0
24,85,12,11,11,15,11,2,0,5,10,4,0
21,89,12,11,11,15,11,2,0,5,10,4,0
4,92,12,11,11,15,11,2,0,5,10,4,0
2,94,12,11,11,15,11,2,0,5,10,4,0
8,95,12,11,11,15,11,2,0,5,10,4,0
9,95,12,11,11,15,11,2,0,5,10,4,0
5,97,12,11,11,15,11,2,0,5,10,4,0
19,97,12,11,11,15,11,2,0,5,10,4,0
7,98,12,11,11,15,11,2,0,5,10,4,0
18,98,12,11,11,15,11,2,0,5,10,4,0
27,98,12,11,11,15,11,2,0,5,10,4,0
11,100,12,11,11,15,11,2,0,5,10,4,0
25,100,12,11,11,15,11,2,0,5,10,4,0
28,101,12,11,11,15,11,2,0,5,10,4,0
6,102,12,11,11,15,11,2,0,5,10,4,0
13,104,12,11,11,15,11,2,0,5,10,4,0
30,105,12,11,11,15,11,2,0,5,10,4,0
1,108,12,11,11,15,11,2,0,5,10,4,0
26,108,12,11,11,15,11,2,0,5,10,4,0
15,110,12,11,11,15,11,2,0,5,10,4,0
7,70,25,6,6,8,6,4,2,6,10,4,0
27,74,25,6,6,8,6,4,2,6,10,4,0
1,79,25,6,6,8,6,4,2,6,10,4,0
15,80,25,6,6,8,6,4,2,6,10,4,0
25,80,25,6,6,8,6,4,2,6,10,4,0
5,81,25,6,6,8,6,4,2,6,10,4,0
8,82,25,6,6,8,6,4,2,6,10,4,0
4,86,25,6,6,8,6,4,2,6,10,4,0
20,86,25,6,6,8,6,4,2,6,10,4,0
26,88,25,6,6,8,6,4,2,6,10,4,0
11,92,25,6,6,8,6,4,2,6,10,4,0
9,94,25,6,6,8,6,4,2,6,10,4,0
19,97,25,6,6,8,6,4,2,6,10,4,0
2,98,25,6,6,8,6,4,2,6,10,4,0
30,99,25,6,6,8,6,4,2,6,10,4,0
18,104,25,6,6,8,6,4,2,6,10,4,0
3,105,25,6,6,8,6,4,2,6,10,4,0
28,108,25,6,6,8,6,4,2,6,10,4,0
10,110,25,6,6,8,6,4,2,6,10,4,0
12,110,25,6,6,8,6,4,2,6,10,4,0
13,110,25,6,6,8,6,4,2,6,10,4,0
22,110,25,6,6,8,6,4,2,6,10,4,0
23,116,25,6,6,8,6,4,2,6,10,4,0
8,5,24,4,4,3,4,9,7,7,10,4,0
20,5,24,4,4,3,4,9,7,7,10,4,0
25,5,24,4,4,3,4,9,7,7,10,4,0
1,9,24,4,4,3,4,9,7,7,10,4,0
13,10,24,4,4,3,4,9,7,7,10,4,0
18,11,24,4,4,3,4,9,7,7,10,4,0
3,13,24,4,4,3,4,9,7,7,10,4,0
2,14,24,4,4,3,4,9,7,7,10,4,0
12,14,24,4,4,3,4,9,7,7,10,4,0
21,15,24,4,4,3,4,9,7,7,10,4,0
28,16,24,4,4,3,4,9,7,7,10,4,0
10,17,24,4,4,3,4,9,7,7,10,4,0
4,23,24,4,4,3,4,9,7,7,10,4,0
27,27,24,4,4,3,4,9,7,7,10,4,0
9,49,24,4,4,3,4,9,7,7,10,4,0
6,56,24,4,4,3,4,9,7,7,10,4,0
29,56,24,4,4,3,4,9,7,7,10,4,0
0,66,24,4,4,3,4,9,7,7,10,4,0
26,88,24,4,4,3,4,9,7,7,10,4,0
14,112,24,4,4,3,4,9,7,7,10,4,0
5,115,24,4,4,3,4,9,7,7,10,4,0
22,119,24,4,4,3,4,9,7,7,10,4,0
19,121,24,4,4,3,4,9,7,7,10,4,0
13,1,26,4,4,3,4,9,7,7,10,4,0
2,2,26,4,4,3,4,9,7,7,10,4,0
26,3,26,4,4,3,4,9,7,7,10,4,0
6,5,26,4,4,3,4,9,7,7,10,4,0
1,9,26,4,4,3,4,9,7,7,10,4,0
5,9,26,4,4,3,4,9,7,7,10,4,0
27,14,26,4,4,3,4,9,7,7,10,4,0
25,22,26,4,4,3,4,9,7,7,10,4,0
8,25,26,4,4,3,4,9,7,7,10,4,0
3,33,26,4,4,3,4,9,7,7,10,4,0
28,35,26,4,4,3,4,9,7,7,10,4,0
14,42,26,4,4,3,4,9,7,7,10,4,0
9,43,26,4,4,3,4,9,7,7,10,4,0
30,43,26,4,4,3,4,9,7,7,10,4,0
10,45,26,4,4,3,4,9,7,7,10,4,0
22,45,26,4,4,3,4,9,7,7,10,4,0
29,46,26,4,4,3,4,9,7,7,10,4,0
11,49,26,4,4,3,4,9,7,7,10,4,0
0,65,26,4,4,3,4,9,7,7,10,4,0
7,65,26,4,4,3,4,9,7,7,10,4,0
4,115,26,4,4,3,4,9,7,7,10,4,0
12,121,26,4,4,3,4,9,7,7,10,4,0
23,56,11,5,5,7,5,9,7,7,10,4,0
6,57,11,5,5,7,5,9,7,7,10,4,0
25,70,11,5,5,7,5,9,7,7,10,4,0
27,74,11,5,5,7,5,9,7,7,10,4,0
19,75,11,5,5,7,5,9,7,7,10,4,0
24,75,11,5,5,7,5,9,7,7,10,4,0
28,76,11,5,5,7,5,9,7,7,10,4,0
5,79,11,5,5,7,5,9,7,7,10,4,0
14,79,11,5,5,7,5,9,7,7,10,4,0
30,79,11,5,5,7,5,9,7,7,10,4,0
18,80,11,5,5,7,5,9,7,7,10,4,0
20,80,11,5,5,7,5,9,7,7,10,4,0
1,81,11,5,5,7,5,9,7,7,10,4,0
8,81,11,5,5,7,5,9,7,7,10,4,0
13,81,11,5,5,7,5,9,7,7,10,4,0
16,85,11,5,5,7,5,9,7,7,10,4,0
11,86,11,5,5,7,5,9,7,7,10,4,0
2,87,11,5,5,7,5,9,7,7,10,4,0
21,87,11,5,5,7,5,9,7,7,10,4,0
22,88,11,5,5,7,5,9,7,7,10,4,0
17,89,11,5,5,7,5,9,7,7,10,4,0
7,92,11,5,5,7,5,9,7,7,10,4,0
12,92,11,5,5,7,5,9,7,7,10,4,0
26,92,11,5,5,7,5,9,7,7,10,4,0
29,94,11,5,5,7,5,9,7,7,10,4,0
3,95,11,5,5,7,5,9,7,7,10,4,0
15,96,11,5,5,7,5,9,7,7,10,4,0
10,97,11,5,5,7,5,9,7,7,10,4,0
4,104,11,5,5,7,5,9,7,7,10,4,0
0,107,11,5,5,7,5,9,7,7,10,4,0
9,110,11,5,5,7,5,9,7,7,10,4,0
26,8,27,10,10,14,10,13,12,8,10,4,0
23,12,27,10,10,14,10,13,12,8,10,4,0
5,16,27,10,10,14,10,13,12,8,10,4,0
21,17,27,10,10,14,10,13,12,8,10,4,0
27,17,27,10,10,14,10,13,12,8,10,4,0
6,20,27,10,10,14,10,13,12,8,10,4,0
10,22,27,10,10,14,10,13,12,8,10,4,0
30,24,27,10,10,14,10,13,12,8,10,4,0
29,29,27,10,10,14,10,13,12,8,10,4,0
2,30,27,10,10,14,10,13,12,8,10,4,0
15,31,27,10,10,14,10,13,12,8,10,4,0
24,31,27,10,10,14,10,13,12,8,10,4,0
