FlightDate,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginState,OriginStateFips,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestStateName
2012/12/20,N631MQ,4285,10821,1082103,30852,BWI,MD,24,35,13930,1393002,30977,Illinois
2012/12/21,N679MQ,4285,10821,1082103,30852,BWI,MD,24,35,13930,1393002,30977,Illinois
2012/12/22,N942MQ,4285,10821,1082103,30852,BWI,MD,24,35,13930,1393002,30977,Illinois
2012/12/26,N617MQ,4285,10821,1082103,30852,BWI,MD,24,35,13930,1393002,30977,Illinois
2012/12/27,N673MQ,4285,10821,1082103,30852,BWI,MD,24,35,13930,1393002,30977,Illinois
2012/12/28,N660MQ,4285,10821,1082103,30852,BWI,MD,24,35,13930,1393002,30977,Illinois
2012/12/29,N653MQ,4285,10821,1082103,30852,BWI,MD,24,35,13930,1393002,30977,Illinois
2012/12/1,N695MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/3,N932MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/4,N603MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/5,N827MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/6,N632MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/7,N618MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/8,N680MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/10,N609MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/11,N615MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/12,N614MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/13,N628MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/14,N922MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/15,N680MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/17,N603MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/18,N670MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/19,N619MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/20,N615MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/21,N610MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/22,N902MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/26,N612MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/27,N942MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/28,N603MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/29,N617MQ,4286,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/2,N832MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/3,N856MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/4,N814MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/5,N827MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/6,N805MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/7,N854MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/9,N840MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/10,N813MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/11,N839MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/12,N849MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/13,N824MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/14,N815MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/16,N800MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/17,N816MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/18,N834MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/19,N856MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/20,N856MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/21,N856MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/23,N814MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/26,N846MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/27,N837MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/28,N824MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/30,N923MQ,4288,11433,1143302,31295,DTW,MI,26,43,13930,1393002,30977,Illinois
2012/12/1,N694MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/2,N670MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/3,N661MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/4,N627MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/5,N601MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/6,N615MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/7,N643MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/8,N667MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/9,N659MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/10,N609MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/11,N600MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/12,N639MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/13,N922MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/14,N609MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/15,N603MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/16,N694MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/17,N630MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/18,N659MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/19,N661MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/20,N942MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/21,N542MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/22,N657MQ,4289,11042,1104202,30647,CLE,OH,39,44,13930,1393002,30977,Illinois
2012/12/13,N699MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/14,N679MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/15,N660MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/16,N679MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/17,N694MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/18,N923MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/19,N684MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/20,N618MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/21,N902MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/22,N699MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/23,N636MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/24,N673MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/25,N679MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/26,N636MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/27,N694MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/28,N656MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/29,N644MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/30,N653MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/31,N638MQ,3931,13871,1387102,33316,OMA,NE,31,65,13930,1393002,30977,Illinois
2012/12/1,N632MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/2,N688MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/3,N628MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/4,N925MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/5,N673MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/6,N631MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/7,N639MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/8,N656MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/9,N627MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/10,N635MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/11,N629MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/12,N639MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/13,N609MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/14,N623MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/15,N649MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/16,N659MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/17,N641MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/18,N600MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/19,N612MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/20,N679MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/21,N681MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/22,N653MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/23,N669MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/24,N918MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/25,N699MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/26,N633MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/27,N653MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/28,N636MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/29,N684MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/30,N649MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/31,N609MQ,3932,14783,1478302,34783,SGF,MO,29,64,13930,1393002,30977,Illinois
2012/12/3,N815MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/4,N805MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/5,N815MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/6,N810MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/7,N812MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/10,N842MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/11,N699MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/12,N832MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/13,N851MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/14,N835MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/17,N818MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/18,N837MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/19,N833MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/20,N837MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/21,N833MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/24,N806MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/25,N824MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/26,N856MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/27,N833MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/28,N835MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/31,N837MQ,3934,10361,1036102,30361,ART,NY,36,22,13930,1393002,30977,Illinois
2012/12/1,N619MQ,3935,13930,1393002,30977,ORD,IL,17,41,11433,1143302,31295,Michigan
2012/12/2,N678MQ,3935,13930,1393002,30977,ORD,IL,17,41,11433,1143302,31295,Michigan
2012/12/3,N683MQ,3935,13930,1393002,30977,ORD,IL,17,41,11433,1143302,31295,Michigan
2012/12/4,N613MQ,3935,13930,1393002,30977,ORD,IL,17,41,11433,1143302,31295,Michigan
2012/12/5,N922MQ,3935,13930,1393002,30977,ORD,IL,17,41,11433,1143302,31295,Michigan
2012/12/6,N688MQ,3935,13930,1393002,30977,ORD,IL,17,41,11433,1143302,31295,Michigan
