1,2,3,4,5,6,7,8,9,10,11,12,13
112,119,233,251,228,2,707,136,0,165,10,0,0
1,119,396,404,40,10,281,171,0,174,10,0,0
645,119,109,273,384,0,165,56,0,158,0,1,0
656,119,287,36,28,6,92,56,0,158,10,1,0
690,119,344,134,384,1,165,56,0,158,10,1,0
668,119,52,251,230,4,874,136,0,165,10,1,0
679,119,177,160,324,1,372,196,0,176,10,1,0
634,119,132,87,96,4,298,56,0,158,13,1,0
867,119,289,391,127,0,789,171,0,174,10,2,0
5,119,264,342,40,77,399,10,0,113,10,3,0
8,119,57,0,99,78,409,134,0,123,10,3,0
6,119,87,149,519,77,533,196,0,176,10,3,0
7,119,384,0,50,4,438,153,0,193,10,3,0
61,119,133,0,49,4,749,56,0,158,0,4,0
63,119,218,251,527,79,691,29,0,183,0,4,0
62,119,363,386,540,77,333,34,0,114,10,4,0
65,119,422,196,436,0,420,136,0,165,10,4,0
58,119,40,31,211,76,205,171,0,174,10,4,0
55,119,115,299,191,0,349,196,0,176,10,4,0
66,119,315,111,345,76,513,196,0,176,10,4,0
64,119,115,342,230,78,157,2,0,180,10,4,0
56,119,345,224,526,78,226,29,0,183,10,4,0
60,119,6,0,372,76,945,164,0,195,10,4,0
59,119,440,211,338,0,801,196,0,176,20,4,0
87,119,108,221,618,75,227,102,0,120,10,5,0
117,119,176,181,93,76,341,171,0,174,0,6,0
116,119,171,251,571,75,193,41,0,116,10,6,0
115,119,333,2,600,76,560,119,0,121,10,6,0
111,119,377,199,436,75,56,136,0,165,10,6,0
114,119,166,172,35,74,793,197,0,170,10,6,0
118,119,352,53,417,69,75,171,0,174,10,6,0
110,119,452,160,72,74,817,196,0,176,10,6,0
119,119,431,320,578,74,289,13,0,181,10,6,0
260,119,372,190,603,72,126,203,0,108,0,7,0
252,119,37,53,493,6,305,97,0,160,0,7,0
249,119,228,0,509,54,389,136,0,165,0,7,0
259,119,88,367,562,76,621,136,0,165,0,7,0
247,119,382,122,47,79,327,196,0,176,0,7,0
251,119,173,0,345,72,39,29,0,183,0,7,0
258,119,310,251,614,0,435,41,0,116,10,7,0
261,119,126,0,590,73,871,159,0,125,10,7,0
253,119,110,386,288,76,371,136,0,165,10,7,0
254,119,285,44,74,10,201,197,0,170,10,7,0
244,119,260,0,248,68,458,196,0,176,10,7,0
250,119,196,0,186,72,478,196,0,176,10,7,0
243,119,97,138,248,73,617,196,0,176,10,7,0
256,119,439,60,251,73,642,196,0,176,10,7,0
245,119,218,108,615,74,375,2,0,180,10,7,0
262,119,211,44,402,73,115,13,0,181,10,7,0
255,119,367,113,577,73,623,13,0,181,10,7,0
263,119,218,294,476,75,720,13,0,181,10,7,0
248,119,456,135,15,71,70,29,0,183,10,7,0
242,125,342,251,15,72,561,119,0,121,23,7,0
323,119,86,0,108,60,826,57,0,155,3,8,0
67,119,121,409,113,69,708,202,0,235,10,9,0
