0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
36,20,30,24,26,26,22,30,18,18,28,26,22,20,28,8,0
26,26,30,30,28,4,28,26,24,22,26,24,26,30,30,28,0
36,18,24,22,20,22,24,26,18,16,28,24,24,16,26,4,1
36,18,28,22,24,24,24,26,18,16,26,24,24,16,28,4,2
36,22,4,28,26,30,22,4,18,20,28,26,24,18,28,4,2
0,24,6,28,30,28,26,26,28,20,28,22,28,20,28,4,2
36,22,28,26,24,28,24,26,18,16,28,24,24,18,28,6,2
36,22,30,28,24,30,24,26,18,16,28,24,24,18,28,6,2
36,20,28,24,24,26,24,30,18,18,28,26,24,18,28,6,2
0,26,4,30,28,28,26,26,26,20,26,24,30,20,28,6,2
40,30,6,4,28,26,20,28,22,30,30,26,30,28,4,24,2
40,28,4,28,28,26,22,26,22,28,28,24,30,28,28,24,2
40,28,6,30,28,24,20,28,24,28,30,26,30,26,30,24,2
40,30,4,30,28,26,22,26,22,30,28,24,30,28,30,24,2
40,30,6,4,28,26,22,26,22,30,30,24,30,28,30,24,2
36,18,26,22,22,26,28,30,20,20,26,24,26,16,26,28,2
36,16,24,20,20,20,24,30,18,16,26,26,24,16,28,28,2
36,20,30,24,24,26,22,28,18,2,26,24,22,18,28,30,2
36,18,24,22,20,24,24,30,18,18,28,26,24,18,28,30,2
24,18,26,20,22,20,26,24,22,20,26,26,6,24,22,2,3
24,22,26,22,22,20,26,22,6,0,27,28,28,28,22,2,4
20,2,0,2,0,0,20,24,22,2,26,24,4,16,26,2,4
20,2,0,2,0,0,20,24,22,2,26,24,4,16,26,2,4
20,2,0,2,0,0,20,24,22,16,26,24,4,16,26,2,4
20,2,0,2,0,0,20,24,24,2,26,24,4,18,26,2,4
6,20,30,20,20,16,10,18,18,20,8,2,28,18,26,2,4
26,22,4,22,28,22,26,26,8,2,24,24,28,24,26,2,4
26,24,6,26,28,24,28,26,10,2,24,24,26,26,26,2,4
26,20,4,20,28,22,28,26,8,2,24,24,26,24,28,2,4
26,22,28,22,24,20,28,26,10,2,24,24,26,24,28,2,4
26,20,6,22,28,22,28,26,10,2,24,24,26,24,28,2,4
26,20,26,22,22,20,28,28,10,2,24,24,26,24,28,2,4
26,22,6,24,28,24,28,28,10,2,24,24,28,24,28,2,4
26,22,6,24,28,24,28,28,10,2,24,24,28,24,28,2,4
36,24,30,28,28,30,28,28,20,22,26,26,26,22,4,4,4
2,22,30,26,26,4,30,30,22,20,26,28,24,24,4,4,4
2,24,6,28,28,8,28,26,22,20,26,26,26,28,4,4,4
8,22,26,26,24,26,26,24,24,20,26,24,30,28,4,4,4
48,24,26,28,4,4,30,30,20,16,20,28,30,22,10,4,4
20,24,30,30,28,30,24,26,16,20,26,20,30,26,22,4,4
14,22,4,28,28,4,26,24,24,20,26,22,28,30,24,4,4
16,26,28,30,30,28,26,28,20,22,26,26,26,20,26,4,4
18,22,28,26,30,26,28,30,20,22,26,26,28,22,26,4,4
2,24,4,24,28,22,24,22,30,26,24,26,24,16,28,4,4
2,24,6,24,28,22,24,24,30,26,24,24,26,16,28,4,4
2,24,6,24,28,22,24,24,30,26,24,24,26,16,28,4,4
2,24,4,24,28,22,24,24,30,28,24,24,26,16,28,4,4
2,24,4,24,28,22,24,24,30,28,24,24,26,16,28,4,4
16,24,26,28,28,26,28,28,20,22,24,24,26,18,28,4,4
2,24,24,24,28,22,24,24,30,26,24,24,26,18,28,4,4
2,22,24,24,28,22,24,24,30,28,24,26,26,18,28,4,4
46,24,6,28,28,26,28,24,18,24,24,26,26,20,28,4,4
18,24,30,28,4,26,26,28,20,24,26,26,26,20,28,4,4
36,20,24,22,20,22,30,26,20,18,30,22,28,20,28,4,4
36,20,26,24,22,24,28,24,20,18,28,24,28,20,28,4,4
36,20,24,24,20,24,30,24,20,18,30,24,30,20,28,4,4
36,20,22,22,22,24,26,26,22,20,26,26,26,22,28,4,4
36,18,24,22,20,22,28,26,20,18,28,22,28,20,30,4,4
36,28,30,4,28,8,26,28,22,22,26,26,26,22,4,6,4
2,24,4,30,28,8,28,28,22,18,24,26,26,26,4,6,4
2,24,6,28,28,6,28,24,22,20,26,26,26,30,6,6,4
50,18,30,22,26,22,28,24,16,26,28,24,28,2,26,6,4
46,24,6,28,28,28,26,24,18,22,24,24,30,20,26,6,4
36,24,28,28,24,28,28,24,20,18,30,22,28,22,30,6,4
46,26,4,30,28,28,26,24,18,22,24,24,4,22,22,8,4
46,24,4,28,28,26,26,26,18,24,24,24,28,24,26,10,4
36,26,4,30,28,8,28,24,22,20,28,24,28,26,28,14,4
0,24,8,24,24,18,10,2,22,16,8,16,4,16,18,16,4
0,24,30,24,22,18,10,0,21,2,8,18,6,16,18,16,4
