0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,169,0,840,546,338,0,195,604,75,2,222,869,0,842,957,934,0,0
66,304,0,949,292,256,0,0,604,75,2,318,462,0,662,709,197,3,0
65,129,0,897,188,329,0,971,0,75,2,10,164,0,643,718,197,3,0
87,499,0,608,273,541,0,446,0,75,2,193,142,0,899,0,197,11,0
101,183,0,491,306,641,0,419,604,0,2,154,242,0,802,937,0,13,0
146,123,0,59,554,786,0,186,0,0,949,158,677,0,432,0,192,18,0
148,481,0,929,788,247,0,365,0,0,2,335,822,0,836,0,197,18,0
147,437,0,804,430,36,0,859,0,75,2,536,822,0,836,0,197,18,0
194,229,0,850,416,954,0,799,0,75,2,810,573,0,818,0,0,33,0
193,204,0,846,342,616,0,799,604,75,2,806,674,0,674,0,197,33,0
197,469,0,195,0,773,0,631,0,75,2,528,822,0,836,0,197,33,0
195,407,0,347,0,740,0,729,0,75,2,240,650,0,926,0,197,33,0
196,468,0,45,336,729,0,419,0,0,2,988,722,0,847,946,197,33,0
198,496,0,252,571,882,0,971,0,75,2,595,573,0,818,983,197,33,0
312,142,0,625,830,850,0,436,0,75,2,336,822,0,836,0,0,47,0
313,326,0,238,0,956,0,859,0,75,2,475,573,0,818,0,197,47,0
314,360,0,285,0,224,0,436,0,75,2,592,142,0,899,0,197,47,0
316,473,0,912,556,533,0,463,0,75,2,980,4,0,891,986,197,47,0
315,429,0,546,0,517,0,463,604,75,949,619,573,0,818,988,197,47,0
89,265,0,885,898,156,0,224,0,75,2,323,610,0,985,0,178,74,0
395,432,0,963,573,518,0,238,604,75,2,957,471,0,310,0,197,75,0
109,322,0,112,709,747,0,339,0,0,2,390,128,0,800,0,197,76,0
169,167,0,318,150,304,0,309,604,75,2,189,590,0,918,780,197,77,0
190,381,0,624,179,612,0,300,0,75,2,46,371,0,995,926,933,80,0
126,514,0,391,706,959,0,339,0,75,2,445,789,0,958,0,197,81,0
179,121,0,932,0,650,0,212,0,75,2,796,378,0,809,0,197,84,0
284,511,0,383,625,96,0,254,0,75,2,487,691,0,552,0,0,86,0
396,119,0,825,272,620,0,196,604,75,2,344,677,0,431,0,184,87,0
182,260,0,195,757,607,0,99,0,0,2,464,378,0,809,0,197,88,0
216,230,0,383,332,719,0,197,0,75,949,901,834,0,865,960,197,89,0
294,273,0,722,642,447,0,254,0,75,2,252,781,0,957,0,197,90,0
13,431,0,391,271,258,0,398,0,75,2,954,998,0,428,701,197,91,0
95,318,0,45,600,575,0,357,0,75,2,780,218,0,17,831,197,92,0
167,395,0,327,904,578,0,309,604,0,2,770,833,0,592,0,0,93,0
855,11,0,821,749,204,0,859,604,75,2,947,141,0,717,0,197,94,0
174,475,0,556,306,730,0,231,604,75,2,503,729,0,413,0,197,95,0
6,448,0,259,719,986,0,398,0,75,2,157,13,0,996,909,0,99,0
131,294,0,503,885,198,0,323,604,75,2,960,590,0,918,693,197,100,0
162,333,0,449,553,243,955,309,604,75,2,37,376,0,273,816,934,102,0
835,298,0,640,648,127,0,242,0,75,2,701,130,0,966,0,950,105,0
14,480,0,366,322,374,0,207,604,75,2,570,778,0,988,929,197,109,0
302,203,0,651,282,693,0,254,604,75,2,16,397,0,721,899,963,111,0
122,285,0,546,240,563,0,339,604,75,2,226,135,0,969,928,0,112,0
27,375,0,986,683,54,0,398,0,0,2,512,332,0,364,0,197,113,0
192,299,0,575,300,693,0,300,0,0,2,127,222,0,637,0,197,114,0
278,125,0,825,333,787,986,380,604,75,2,306,474,0,945,0,0,115,0
207,515,0,690,0,279,0,234,0,75,2,992,124,0,961,0,197,116,0
286,425,0,22,777,838,0,254,0,75,2,409,562,0,950,911,197,117,0
285,9,0,775,645,590,0,254,0,75,2,812,212,0,433,0,934,117,0
480,179,0,840,940,519,0,213,604,75,2,650,22,0,641,721,197,121,0
8,238,0,783,0,119,0,231,0,75,2,102,526,0,981,0,197,122,0
9,267,0,94,902,698,0,205,604,75,2,210,124,0,961,922,197,122,0
183,382,0,4,500,17,0,281,0,0,2,298,776,0,590,0,197,124,0
43,245,0,469,875,620,0,224,0,75,2,370,681,0,349,811,197,125,0
555,290,0,812,174,418,0,236,604,75,2,151,602,0,953,0,976,126,0
292,452,0,525,787,233,0,224,0,75,2,732,588,0,534,0,0,127,0
291,251,0,69,648,242,0,254,997,70,949,567,136,0,845,963,0,127,0
134,509,0,909,0,751,0,224,604,75,2,260,526,0,981,0,197,130,0
164,310,0,45,485,546,0,254,0,75,2,816,12,0,1,814,197,131,0
110,376,0,780,962,852,0,339,604,75,2,662,474,0,945,0,197,133,0
222,222,0,304,0,938,0,536,0,75,2,951,396,0,944,0,0,135,0
46,173,0,748,532,17,0,380,604,0,2,996,506,0,516,775,0,138,0
300,402,0,109,514,43,0,254,0,75,2,779,721,0,956,0,197,139,0
299,243,0,746,605,289,0,254,0,75,2,523,355,0,907,723,934,139,0
49,134,0,309,240,509,0,309,0,75,2,923,740,0,351,0,197,142,0
229,184,0,775,516,732,0,357,0,75,2,916,998,0,428,0,197,143,0
230,264,0,825,456,656,0,281,604,75,2,97,829,0,991,912,197,143,0
241,19,0,992,607,733,0,242,604,75,2,909,270,0,388,999,0,145,0
242,428,0,45,904,500,0,463,0,0,2,765,681,0,349,812,197,145,0
894,253,0,107,999,605,0,242,0,75,949,771,680,0,348,0,997,147,0
20,485,0,8,0,834,0,398,0,0,2,850,275,0,466,0,197,148,0
21,488,0,701,0,984,0,398,0,75,2,375,219,0,971,0,197,148,0
98,181,0,429,0,128,0,357,604,0,2,764,528,0,914,0,197,151,0
260,155,0,517,885,365,0,281,0,75,2,683,674,0,674,720,197,152,0
61,498,0,510,772,420,0,380,0,75,2,539,571,0,345,959,197,154,0
38,384,0,383,965,530,0,380,0,75,2,583,0,0,0,0,197,157,0
344,436,0,656,240,357,0,0,0,75,2,941,837,0,593,788,0,158,0
341,305,0,549,0,500,0,68,0,75,2,231,837,0,593,789,0,158,0
337,36,0,795,648,349,0,99,604,75,2,636,401,0,275,0,197,158,0
343,394,0,0,991,868,0,799,604,75,2,515,15,0,439,0,197,158,0
342,325,0,933,463,265,0,631,0,75,2,480,837,0,593,0,197,158,0
339,90,0,765,934,958,0,631,0,75,2,893,491,0,312,612,197,158,0
345,490,0,648,759,435,0,436,0,75,2,703,464,0,911,753,197,158,0
338,66,0,85,881,634,0,859,0,75,2,836,530,0,323,852,197,158,0
346,492,0,604,940,59,0,729,0,75,2,767,627,0,733,882,197,158,0
340,228,0,327,303,21,0,729,604,75,2,727,530,0,323,850,973,158,0
74,288,0,268,342,264,0,365,0,0,2,707,341,0,481,0,0,182,0
365,239,0,871,648,62,0,920,0,75,2,284,611,0,396,997,0,183,0
363,28,0,347,295,254,0,58,0,75,2,807,639,0,28,0,197,183,0
366,472,0,45,240,595,0,729,0,75,2,609,34,0,371,0,197,183,0
367,494,0,149,789,231,0,463,604,75,2,544,15,0,439,0,197,183,0
364,52,0,986,778,564,0,729,604,75,2,265,38,0,175,612,197,183,0
208,324,0,812,165,915,0,422,604,0,2,120,375,0,495,749,0,201,0
383,40,973,432,463,405,0,99,0,75,2,831,901,0,70,0,197,203,0
384,83,0,656,648,678,0,631,0,75,2,386,401,0,275,0,197,203,0
